"StudentID","Dropout","cohort","cohort.term","Marital.Status","Adjusted.Gross.Income","Parent.Adjusted.Gross.Income","Father.s.Highest.Grade.Level","Housing","RegistrationDate","BirthYear","EnrollmentStatus","NumColCredAttemptTransfer","NumColCredAcceptTransfer","HighDeg","MathPlacement","EngPlacement","GatewayMathStatus","GatewayEnglishStatus","complete_DevMath","complete_DevEnglish","final_Complete1","final_GPA","cohort_year","first_term_Major1","final_majorOne","total_Loan","total_Scholarship","total_Work_Study","total_Grant","race","overall_income"
26047,"0","2014-15",1,"Single",12685,0,"College","Off Campus",20140507,1990,2,65,66,0,0,0,0,0,0,0,7,2.67,"2014",42,42,4.37106786227174,0,0,4.40507302558599,"Black",4.10329047155775
26359,"0","2015-16",1,"Single",7075,0,"High School","Off Campus",20150624,1987,2,98,91,0,0,0,0,0,0,0,7,3.69,"2015",27,27,4.30102999566398,0,0,4.25695815256093,"Hispanic",3.84972644419633
26367,"0","2011-12",1,"Single",0,16257,"High School","With Parent",20110627,1993,1,-2,-2,0,1,1,0,0,1,1,0,2.88,"2011",0,0,0,0,0,4.89966185204239,"Asian",4.21104040573205
26404,"1","2011-12",1,"Single",0,10918,"College","With Parent",20110808,1993,1,-2,-2,0,1,1,1,0,0,1,0,1.81,"2011",50,50,3.74036268949424,0,0,3.74429298312268,"Hispanic",4.03814308996994
26660,"1","2011-12",1,"Unknown",0,0,"Unknown","Unknown",20110726,1992,1,-2,-2,0,0,0,0,1,0,0,0,3.52,"2011",52,52,0,0,0,0,"Asian",0
26846,"1","2011-12",1,"Single",40000,0,"High School","Off Campus",20110728,1983,2,88,68,0,0,0,0,0,0,0,0,3.32,"2011",52,52,4.45484486000851,0,0,0,"Black",4.60205999132796
27743,"0","2014-15",1,"Single",0,0,"High School","With Parent",20140729,1992,2,107,66,2,0,0,0,0,0,0,7,2.56,"2014",42,42,0,0,0,4.2526346157124,"Hispanic",0
27936,"1","2015-16",3,"Unknown",0,0,"Unknown","Unknown",20150116,1969,2,102,66,2,0,0,0,0,0,0,0,2.65,"2015",23,23,0,0,0,0,"Hispanic",0
28117,"1","2015-16",1,"Single",0,105950,"Unknown","Off Campus",20150817,1992,1,-2,-2,0,1,1,0,0,1,0,0,0,"2015",9,9,0,0,0,0,"Black",5.02510096104681
28229,"0","2016-17",1,"Single",41771,0,"Middle School","On Campus Housing",20160720,1982,2,0,0,0,0,0,0,0,0,0,8,3.22,"2016",51,51,4.53781909507327,0,0,0,"Hispanic",4.62087487242297
28567,"1","2011-12",1,"Single",25094,0,"Middle School","Off Campus",20110809,1982,2,120,96,3,0,0,0,0,0,0,0,1.54,"2011",52,52,3.57403126772772,0,0,0,"Black",4.39956989365684
28848,"1","2014-15",1,"Unknown",0,0,"Unknown","Unknown",20140501,1965,2,-1,79,2,0,0,0,0,0,0,0,3.35,"2014",51,51,0,0,0,0,"Hispanic",0
28925,"1","2012-13",1,"Single",7080,89240,"College","With Parent",20120613,1992,2,68,38,0,0,0,0,0,0,0,7,3.5,"2012",23,23,3.39199307225971,0,0,0,"Asian",4.98371647391375
29164,"0","2011-12",1,"Single",27534,0,"High School","Off Campus",20110620,1982,2,0,0,2,0,0,0,0,0,0,7,3.45,"2011",42,42,4.40046891121749,0,0,4.12456942932084,"Black",4.4398693080783
29716,"1","2012-13",3,"Unknown",0,0,"Unknown","Unknown",20121211,1968,2,-1,66,2,0,0,0,0,0,0,0,3.34,"2012",43,43,0,0,0,0,"Hispanic",0
30174,"1","2011-12",3,"Married",108177,18000,"Middle School","Off Campus",20111222,1982,2,92,57,2,0,0,0,0,0,0,0,2.18,"2011",45,45,3.92941892571429,0,0,0,"Hispanic",5.10098019735326
30292,"0","2016-17",1,"Married",91556,0,"High School","Off Campus",20160803,1981,2,0,0,0,0,0,0,0,0,0,0,3.82,"2016",51,51,0,0,0,0,"White",4.96168681047831
30480,"1","2012-13",1,"Married",20107,0,"College","Off Campus",20120815,1982,2,72,66,2,1,0,0,0,0,0,0,3.12,"2012",45,45,4.4942241869169,0,0,4.21977439031477,"White",4.30334727792458
30767,"1","2011-12",3,"Unknown",0,0,"Unknown","Unknown",20120106,1961,2,0,0,0,0,0,0,0,0,0,0,2.65,"2011",52,52,0,0,0,0,"Black",0
30985,"0","2014-15",1,"Single",27824,0,"High School","Off Campus",20140626,1981,1,-2,-2,0,1,1,0,0,1,0,0,2.96,"2014",50,50,4.21632427868667,0,0,3.78426058256608,"Hispanic",4.44441956465864
31126,"1","2015-16",1,"Single",0,0,"College","Off Campus",20150828,1982,2,76,30,0,0,0,0,0,0,0,0,0,"2015",45,45,0,0,0,3.37358684311317,"Black",0
31216,"0","2013-14",1,"Single",18522,0,"High School","Off Campus",20130618,1984,1,-2,-2,0,1,0,0,1,1,0,8,3.66,"2013",52,52,0,0,0,3.88087073253242,"White",4.26768787986574
31224,"1","2014-15",1,"Unknown",0,0,"Unknown","Unknown",20140902,1991,1,-2,-2,0,-1,-1,0,0,0,0,0,3,"2014",0,0,0,0,0,0,"TwoOrMoreRace",0
31659,"0","2012-13",1,"Divorced",33951,0,"High School","Off Campus",20120426,1978,2,79,66,2,1,1,0,0,0,0,8,3.02,"2012",52,52,0,0,0,3.85357654361964,"Hispanic",4.53085257060727
32175,"1","2011-12",1,"Single",0,0,"High School","With Parent",20110325,1976,1,-2,-2,0,1,0,0,0,0,0,0,2.66,"2011",42,42,3.84509804001426,0,0,3.71239713140672,"White",0
32551,"0","2011-12",3,"Single",40033,0,"Unknown","With Parent",20120110,1987,2,107,73,0,0,0,0,0,0,0,8,3.64,"2011",52,52,3.74036268949424,0,0,3.7160033436348,"Hispanic",4.60241813656093
32781,"1","2012-13",3,"Unknown",0,0,"Unknown","Unknown",20130124,1963,1,-2,-2,0,1,0,0,0,0,0,0,1.13,"2012",52,52,0,0,0,0,"Hispanic",0
33332,"1","2011-12",1,"Single",23430,0,"Unknown","Off Campus",20110606,1983,2,70,54,0,0,0,0,0,0,0,0,0,"2011",42,42,3.24303804868629,0,0,3.58894364274001,"Black",4.36977228859696
33370,"0","2012-13",1,"Single",15770,0,"Unknown","Off Campus",20120712,1983,2,60,60,0,0,0,0,0,0,0,7,3.02,"2012",42,42,4.43536650661266,0,0,0,"Hispanic",4.1978316933289
34166,"0","2014-15",3,"Single",22144,0,"High School","With Parent",20140126,1982,2,-1,79,0,0,0,0,0,0,0,8,3.79,"2014",51,51,0,0,0,3.34733001531695,"Hispanic",4.34525607277666
34272,"0","2013-14",1,"Single",23865,0,"Middle School","Off Campus",20130819,1989,2,95,44,0,0,0,0,0,0,0,8,3.36,"2013",51,51,4.45101845215546,0,0,2.49554433754645,"Hispanic",4.37776143870226
34380,"1","2012-13",3,"Married",15200,0,"High School","Off Campus",20121127,1983,2,60,39,2,0,0,0,0,0,0,0,2.86,"2012",26,26,3.62838893005031,0,0,3.7419390777292,"Unknown",4.18184358794477
34666,"0","2011-12",1,"Single",15295,82486,"High School","With Parent",20110411,1991,2,74,66,2,0,0,0,0,0,0,8,4,"2011",43,43,0,4.31054037978301,0,0,"White",4.99025447445227
34919,"0","2012-13",1,"Single",0,0,"High School","Off Campus",20120712,1983,2,50,50,2,0,0,0,0,0,0,7,3.41,"2012",42,42,4.2532895322548,3,0,4.39823522855634,"Black",0
35056,"1","2011-12",1,"Divorced",25479,0,"High School","Off Campus",20110714,1973,2,75,63,0,0,0,0,0,0,0,0,3.25,"2011",52,52,4.15381486434453,0,0,4.23794567660924,"Hispanic",4.40618237880443
35315,"1","2011-12",1,"Married",72900,0,"High School","Off Campus",20110902,1978,2,13,10,0,0,0,0,0,0,0,0,1.88,"2011",0,0,3.98900461569854,0,0,3.4945719842302,"Hispanic",4.86272752831797
35433,"1","2013-14",1,"Single",0,89420,"High School","With Parent",20130612,1993,2,12,12,0,0,0,0,0,0,0,0,2.99,"2013",11,11,3.74036268949424,0,0,0,"TwoOrMoreRace",4.95143466553201
35803,"1","2013-14",3,"Unknown",0,0,"Unknown","Unknown",20140117,1965,1,-2,-2,0,-1,-1,0,1,0,0,0,3.44,"2013",0,0,0,0,0,0,"White",0
36082,"1","2013-14",3,"Single",18254,0,"Unknown","Off Campus",20131030,1984,2,74,56,2,0,0,0,0,0,0,0,3.14,"2013",45,45,3.54406804435028,0,0,4.20082314871093,"Hispanic",4.26135804619412
36438,"1","2011-12",3,"Single",0,12419,"High School","With Parent",20111028,1992,2,25,25,0,0,0,0,0,0,0,0,2.25,"2011",43,43,3.72015930340596,0,0,4.05891926071889,"Hispanic",4.09408662708319
36945,"1","2011-12",3,"Unknown",0,0,"Unknown","Unknown",20120106,1986,1,-2,-2,0,-1,-1,0,0,0,0,0,4,"2011",0,0,0,0,0,0,"Asian",0
37218,"0","2015-16",1,"Separated",28153,0,"Unknown","Off Campus",20150417,1977,2,74,60,2,0,0,0,0,0,0,8,3.13,"2015",52,52,3.74036268949424,0,0,4.09457593364925,"Hispanic",4.44952468032503
37630,"0","2011-12",1,"Single",38694,0,"Unknown","Off Campus",20110412,1974,2,136,70,0,0,0,0,0,0,0,7,3.75,"2011",42,42,4.07918124604763,3.60205999132796,0,3.8575737041475,"Black",4.58764362732099
37639,"1","2012-13",1,"Married",36194,0,"High School","Off Campus",20120627,1981,2,0,0,2,0,0,0,0,0,0,0,3.3,"2012",51,51,3.8750612633917,3.30102999566398,0,3.7160033436348,"Unknown",4.55863658205629
38319,"0","2012-13",1,"Unknown",0,0,"Unknown","Unknown",20120511,1983,2,0,0,2,0,0,0,0,0,0,8,3.32,"2012",52,52,0,0,0,0,"Unknown",0
39414,"1","2011-12",1,"Single",7826,0,"High School","Off Campus",20110901,1983,2,106,81,0,0,0,0,0,0,0,0,2.06,"2011",52,52,4.19728055812562,0,3.30102999566398,4.06400848653172,"Black",3.89353984356466
39588,"1","2014-15",1,"Unknown",0,0,"Unknown","Unknown",20140714,1974,2,0,0,0,0,0,1,0,0,0,0,2.93,"2014",0,0,0,0,0,0,"White",0
40825,"0","2015-16",1,"Married",87624,0,"High School","Off Campus",20150616,1983,2,127,96,0,0,0,0,0,0,0,7,3.48,"2015",42,42,4.29889672190313,0,0,0,"White",4.94262307466133
40904,"1","2013-14",3,"Unknown",0,0,"Unknown","Unknown",20140122,1964,2,61,51,0,0,0,0,0,0,0,0,0,"2013",26,26,0,0,0,0,"Black",0
41744,"0","2012-13",1,"Unknown",0,0,"Unknown","Unknown",20120509,1988,2,51,51,0,0,0,0,0,0,0,8,3.89,"2012",52,52,0,0,0,0,"White",0
42888,"0","2012-13",1,"Single",13214,0,"High School","Off Campus",20120830,1983,2,143,66,0,0,0,0,0,0,0,7,2.79,"2012",42,42,4.27646180417324,0,0,3.54986118847194,"Hispanic",4.1210343024723
43071,"0","2014-15",1,"Married",36124,0,"Middle School","Off Campus",20140619,1983,2,-1,70,2,0,0,0,0,0,0,0,3.01,"2014",51,51,4.03140846425162,0,0,3.82125143154594,"Hispanic",4.55779583360563
43279,"0","2016-17",1,"Married",52429,0,"College","Off Campus",20160616,1973,2,-1,96,3,0,0,0,0,0,0,0,3.6,"2016",13,13,4.09691001300806,0,0,0,"White",4.71957157431446
43344,"1","2013-14",1,"Married",35472,0,"High School","Off Campus",20130711,1978,2,96.5,66,2,0,0,0,0,0,0,0,0,"2013",52,52,0,0,0,3.06149394619861,"Hispanic",4.54988567577041
43419,"0","2015-16",1,"Divorced",15898,0,"Unknown","Off Campus",20150702,1966,2,56,60,2,0,0,0,0,0,0,8,3.71,"2015",52,52,0,4,0,3.89431606268444,"Hispanic",4.20134249264771
43422,"0","2013-14",1,"Single",28209,0,"College","Off Campus",20130427,1970,2,94.5,66,2,0,0,0,0,0,0,7,3.27,"2013",13,13,4.48072537898849,0,0,4.16331048896369,"Black",4.45038769082819
43477,"0","2016-17",1,"Married",61986,0,"Unknown","Off Campus",20160412,1974,2,37,22,0,0,0,1,0,0,0,0,1,"2016",51,51,3.68601029131529,0,0,3.50037371435337,"Hispanic",4.79229361192865
43533,"1","2012-13",3,"Unknown",0,0,"Unknown","Unknown",20130123,1982,2,121,96,3,0,0,0,0,0,0,0,2.66,"2012",43,43,0,0,0,0,"Black",0
43686,"1","2011-12",1,"Married",27856,0,"High School","Off Campus",20110718,1982,2,40,24,0,1,0,1,0,0,0,0,2.92,"2011",13,13,4.58827170684233,0,0,4.59297574583405,"White",4.44491875377326
43733,"1","2011-12",1,"Single",0,13735,"Unknown","On Campus Housing",20110607,1993,1,-2,-2,0,1,1,1,0,0,1,0,2.69,"2011",50,50,4.53781909507327,0,0,4.74811046749498,"Black",4.13782866375658
43777,"0","2014-15",1,"Single",40866,0,"Middle School","Off Campus",20140827,1983,2,120,96,3,0,0,0,0,0,0,0,3.18,"2014",45,45,4.55022835305509,0,0,3.4605971888976,"Black",4.61136213066625
43882,"0","2012-13",1,"Single",1800,193640,"High School","With Parent",20120802,1989,2,50,9,2,1,1,0,0,0,0,8,3.15,"2012",52,52,4.23044892137827,0,0,3.75166394626099,"Asian",5.29101345396538
44104,"0","2012-13",1,"Single",13656,0,"Unknown","Off Campus",20120821,1982,2,67,66,2,0,0,0,0,0,0,8,3.61,"2012",43,43,4.32221929473392,0,0,3.9995220131289,"Hispanic",4.13532350810668
44318,"0","2015-16",3,"Single",8686,15027,"Middle School","Off Campus",20150122,1993,2,79,66,2,0,0,0,0,0,0,0,3.12,"2015",42,42,0,0,0,4.24676931494647,"AmericanIndian",4.37498650130111
44372,"1","2013-14",1,"Single",5299,205799,"College","Off Campus",20130614,1992,2,80,64,2,0,0,0,0,0,0,0,3.75,"2013",43,43,4.02118929906994,0,0,0,"White",5.32448411870283
44496,"0","2013-14",1,"Single",0,88212,"College","With Parent",20130702,1995,1,-2,-2,0,1,1,1,0,0,1,0,2.72,"2013",13,13,4.16136800223498,0,0,0,"Hispanic",4.94552766879723
44549,"0","2012-13",3,"Single",10453,67814,"High School","With Parent",20121023,1991,2,14,66,2,0,0,0,0,0,0,8,3.48,"2012",26,26,4.24919835739111,0,0,3.66256896693326,"Asian",4.89357868748776
44757,"0","2016-17",1,"Unknown",0,0,"Unknown","Unknown",20160816,1983,2,77,43,0,0,0,0,0,0,0,0,2.57,"2016",13,13,0,0,0,0,"Asian",0
45090,"0","2011-12",1,"Single",12607,0,"College","With Parent",20110803,1987,2,39,33,0,0,0,0,0,0,0,7,3.37,"2011",9,9,4.56820172406699,0,0,4.18423702901637,"Asian",4.10061175283379
52248,"0","2013-14",1,"Single",21426,0,"College","Off Campus",20130814,1970,2,87,66,2,0,0,0,0,0,0,8,2.77,"2013",52,52,0,0,0,4.15979300374014,"Hispanic",4.33094110057643
55512,"0","2011-12",1,"Single",53834,0,"High School","Off Campus",20110825,1979,2,67,64,2,0,0,0,0,0,0,8,2.91,"2011",0,0,0,0,0,3.19451434188247,"Unknown",4.731056650174
63106,"1","2011-12",1,"Single",0,0,"High School","With Parent",20110628,1993,1,-2,-2,0,1,1,0,0,1,1,0,1.25,"2011",0,0,3.74036268949424,0,0,3.74429298312268,"Hispanic",0
63303,"0","2011-12",1,"Single",0,79606,"High School","With Parent",20110714,1993,1,-2,-2,0,1,1,0,0,1,1,7,3.64,"2011",0,0,4.35218251811136,0,0,0,"Asian",4.90094580226894
63322,"1","2011-12",1,"Single",0,23955,"College","Off Campus",20110829,1993,1,-2,-2,0,1,1,0,0,1,1,0,2.42,"2011",43,43,3.93196611472817,0,3.7041505168398,4.46887879425401,"Hispanic",4.37939617519416
63345,"0","2011-12",1,"Separated",25990,0,"High School","Off Campus",20110815,1977,2,81,70,2,0,0,0,0,0,0,8,3.23,"2011",51,51,4.16879202031418,0,0,3.93636291959774,"White",4.41480627950101
63766,"0","2016-17",1,"Single",37044,0,"College","Off Campus",20160420,1982,2,56,59,2,0,0,0,0,0,0,0,3.02,"2016",16,16,3.74036268949424,0,0,3.72997428569956,"Hispanic",4.56871787552972
63908,"1","2015-16",1,"Unknown",0,0,"Unknown","Unknown",20150721,1991,2,100,46,0,0,0,0,0,0,0,0,3.5,"2015",26,26,0,0,0,0,"Black",0
64083,"0","2013-14",3,"Married",3800,0,"High School","Off Campus",20140121,1981,2,61,40,0,0,0,0,0,0,0,0,3.32,"2013",52,52,4.57611089412084,0,0,4.30841499909667,"Asian",3.57978359661681
64122,"0","2014-15",3,"Single",22097,0,"College","On Campus Housing",20141216,1984,1,-2,-2,0,1,1,0,1,1,1,0,2.34,"2014",51,51,4.32925546437964,0,0,4.38771008939861,"Hispanic",4.34433331568128
64199,"0","2012-13",1,"Married",74597,0,"High School","Off Campus",20120731,1983,2,0,0,0,0,0,0,0,0,0,8,3.84,"2012",51,51,4.09691001300806,0,0,0,"Hispanic",4.87272136219594
64777,"0","2014-15",3,"Single",0,13531,"College","Off Campus",20140128,1995,1,-2,-2,0,1,1,0,0,1,0,0,3.44,"2014",45,45,0,0,3.30102999566398,4.4869402807047,"Asian",4.13132989404281
64886,"1","2012-13",1,"Unknown",0,0,"Unknown","Unknown",20120828,1969,2,100,70,2,0,0,0,0,0,0,0,3.7,"2012",51,51,0,0,0,0,"White",0
65040,"1","2012-13",3,"Married",23054,0,"High School","Off Campus",20121212,1982,1,-2,-2,0,1,1,0,0,0,1,0,0,"2012",43,43,3.30102999566398,0,0,3.31848072517452,"Hispanic",4.36274628882388
65066,"0","2012-13",1,"Single",71870,0,"High School","On Campus Housing",20120712,1984,2,89,76,0,0,0,0,0,0,0,8,3.54,"2012",51,51,4.30102999566398,0,0,0,"Hispanic",4.85654764485675
65424,"0","2012-13",1,"Married",34952,0,"High School","Off Campus",20120625,1983,2,86,81,0,0,0,0,0,0,0,8,3.35,"2012",0,0,3.90308998699194,0,0,4.24049932650751,"Hispanic",4.54347203170151
65687,"0","2013-14",1,"Married",57895,0,"High School","Off Campus",20130723,1965,2,68,65,2,0,0,0,0,0,0,7,3.25,"2013",42,42,4.22968184231768,4,0,3.94275192042981,"Black",4.76264105826674
66350,"0","2012-13",3,"Single",30419,0,"Middle School","Off Campus",20130118,1982,2,67,66,2,0,0,0,0,0,0,7,3.15,"2012",13,13,4.49485002168009,0,0,0,"Hispanic",4.48314493287213
66661,"0","2011-12",1,"Single",0,123663,"High School","With Parent",20110415,1993,1,-2,-2,0,0,1,0,0,0,1,8,3.15,"2011",0,0,4.27295494484817,2.39794000867204,3.30102999566398,0,"Hispanic",5.09223977804869
66672,"1","2012-13",1,"Single",17994,0,"Middle School","Off Campus",20120410,1984,1,-2,-2,0,1,1,0,1,0,0,0,2.46,"2012",43,43,3.24303804868629,0,0,3.4432629874587,"Hispanic",4.25512771614317
66715,"1","2011-12",1,"Single",11975,0,"High School","With Parent",20110722,1986,2,42,33,0,0,0,0,0,0,0,0,1.91,"2011",43,43,3.50242711998443,0,0,3.71650416377322,"White",4.0782755220866
66738,"1","2013-14",1,"Single",28816,0,"Unknown","Off Campus",20130709,1984,2,87,66,2,0,0,0,0,0,0,0,0,"2013",13,13,0,0,0,1.9878449501713,"Unknown",4.45963369547546
66840,"0","2012-13",1,"Single",19204,0,"Unknown","Off Campus",20120814,1965,2,65,58,2,0,0,0,0,0,0,7,2.5,"2012",45,45,4.41912930774198,0,0,4.14550717140966,"Black",4.28339169729713
66888,"0","2011-12",1,"Single",52946,0,"High School","Off Campus",20110804,1972,1,-2,-2,0,1,1,0,0,1,1,0,2.66,"2011",45,45,4.74036268949424,0,0,4.0456749667691,"Black",4.72383315531137
67148,"1","2011-12",1,"Single",12893,0,"Unknown","Off Campus",20110613,1981,2,51,19.5,0,0,0,0,0,0,0,0,0.68,"2011",13,13,3.86033800657099,0,0,4.28587222706926,"Black",4.110353982664
67171,"1","2012-13",3,"Single",21284,0,"College","Off Campus",20130116,1982,2,36,33,0,0,0,0,0,0,0,0,2.28,"2012",50,50,0,0,0,0,"Hispanic",4.32805325025268
67316,"1","2012-13",1,"Unknown",0,0,"Unknown","Unknown",20120827,1976,2,0,0,0,0,0,0,0,0,0,0,4,"2012",0,0,0,0,0,0,"Hispanic",0
67421,"0","2015-16",3,"Divorced",47259,0,"Unknown","Off Campus",20160106,1966,2,91,66,2,0,0,0,0,0,0,0,3.98,"2015",52,52,0,3.84206603193261,0,3.96070855168856,"Hispanic",4.67448452772638
67940,"0","2012-13",1,"Single",16193,34554,"Middle School","Off Campus",20120426,1991,2,84,66,2,0,0,0,0,0,0,8,3.44,"2012",43,43,4.17609125905568,0,0,3.62438524142026,"Black",4.70541037324621
68466,"1","2012-13",1,"Single",0,54539,"High School","With Parent",20120712,1994,1,-2,-2,0,1,1,0,0,1,1,0,3.59,"2012",50,50,0,0,0,4.45701850299381,"Black",4.73670717067082
68658,"1","2013-14",1,"Unknown",0,0,"Unknown","Unknown",20130415,1995,1,-2,-2,0,1,0,0,1,1,0,0,3.4,"2013",13,13,0,0,0,0,"Hispanic",0
68759,"1","2013-14",1,"Single",9985,0,"High School","With Parent",20130730,1988,2,86,66,2,0,0,1,0,0,0,0,1.87,"2013",45,45,4.02118929906994,0,0,4.24873322980481,"White",3.99934806920672
68773,"0","2014-15",1,"Single",9654,35483,"College","With Parent",20140506,1995,1,-2,-2,0,1,1,0,1,1,0,0,1.76,"2014",0,0,2.45024910831936,0,3.31597034545692,4.31306535481351,"Hispanic",4.65453269061364
68809,"0","2013-14",1,"Single",3426,9779,"High School","Off Campus",20130412,1992,2,89,66,2,0,0,0,0,0,0,8,3.1,"2013",52,52,0,0,3.85369821177617,4.60893232599001,"Hispanic",4.12073840554294
68832,"0","2014-15",1,"Single",48421,0,"College","Off Campus",20140904,1988,2,149,66,2,0,0,0,0,0,0,8,3.24,"2014",43,43,4.02118929906994,0,0,0,"Black",4.68503375433325
68890,"1","2011-12",1,"Single",6688,0,"High School","Off Campus",20110413,1980,2,80,78,2,0,0,0,0,0,0,0,1.89,"2011",52,52,4.32221929473392,0,0,4.32995996241971,"Hispanic",3.82529626443096
69034,"1","2015-16",1,"Single",0,123835,"College","With Parent",20150514,1995,2,46,37,0,0,0,1,0,0,0,0,1.56,"2015",52,52,3.81291335664286,0,0,0,"White",5.0928434084854
69126,"0","2014-15",1,"Single",2183,136867,"College","With Parent",20140814,1994,2,47,26,0,0,0,0,0,0,0,0,2.71,"2014",0,0,4.29003461136252,0,0,0,"Black",5.14317099320018
70093,"1","2011-12",3,"Single",0,0,"High School","Off Campus",20120106,1984,2,22,19,0,0,0,1,1,0,0,0,2.38,"2011",43,43,0,0,0,3.910197369966,"Hispanic",0
70235,"1","2011-12",3,"Single",12090,0,"Unknown","With Parent",20111215,1988,2,86,74,0,0,0,0,0,0,0,0,0.25,"2011",13,13,0,0,0,4.06777735863332,"Hispanic",4.08242630086077
70526,"0","2015-16",1,"Unknown",0,0,"Unknown","Unknown",20150901,1994,2,55,24,0,0,0,0,0,0,0,0,2.06,"2015",23,23,0,0,0,0,"Asian",0
70741,"1","2012-13",1,"Single",51143,0,"High School","Off Campus",20120816,1984,1,-2,-2,0,1,1,0,0,0,0,0,2.87,"2012",0,0,4.17609125905568,0,0,0,"Black",4.708786199741
70833,"0","2015-16",3,"Married",73018,0,"Middle School","Off Campus",20150119,1983,2,0,0,2,0,0,0,0,0,0,8,3.07,"2015",51,51,3.91211572907885,0,0,3.10037054511756,"Hispanic",4.86342993323081
71251,"0","2014-15",1,"Married",12100,0,"College","Off Campus",20140506,1983,2,0,0,0,0,0,0,0,0,0,8,3.55,"2014",51,51,4.39794000867204,0,0,0,"Hispanic",4.08278537031645
71631,"1","2013-14",1,"Married",99269,0,"High School","Off Campus",20130626,1980,2,107,76,2,0,0,0,0,0,0,0,3.65,"2013",51,51,4.06434565716217,0,0,0,"White",4.99681364697603
71642,"1","2014-15",1,"Single",33634,0,"Unknown","Off Campus",20140430,1984,1,-2,-2,0,1,1,0,0,1,1,0,3.1,"2014",0,0,3.8750612633917,0,0,3.75815462196739,"Hispanic",4.52677851984585
72124,"1","2012-13",1,"Married",26140,0,"College","Off Campus",20120710,1985,2,73,46,0,0,0,0,0,0,0,0,1.05,"2012",9,9,3.24303804868629,0,0,3.87639106181919,"White",4.41730558324453
72172,"1","2012-13",3,"Unknown",0,0,"Unknown","Unknown",20130123,1970,2,102,81,0,0,0,0,0,0,0,0,2.7,"2012",13,13,0,0,0,0,"Hispanic",0
72295,"1","2011-12",1,"Married",71507,0,"College","Off Campus",20110725,1986,2,11,18,0,0,0,0,0,0,0,0,3.3,"2011",13,13,0,0,0,0,"Hispanic",4.85434855806079
72398,"1","2014-15",1,"Unknown",0,0,"Unknown","Unknown",20140702,1984,1,-2,-2,0,-1,-1,0,0,0,0,0,3.8,"2014",-1,-1,0,0,0,0,"Asian",0
72415,"0","2011-12",3,"Single",2130,0,"Middle School","With Parent",20120104,1977,1,-2,-2,0,1,1,0,0,1,1,0,2.87,"2011",0,0,4.74862210448552,0,0,4.74070209615659,"Hispanic",3.32837960343874
72528,"1","2013-14",1,"Single",21873,0,"Middle School","Off Campus",20130827,1956,2,106,66,2,0,0,0,0,0,0,0,2.9,"2013",13,13,4.19728055812562,0,0,2.80955971463527,"Black",4.33990835295501
