"StudentID","Dropout","cohort","cohort term","Marital Status","Adjusted Gross Income","Parent Adjusted Gross Income","Father's Highest Grade Level","Mother's Highest Grade Level","Housing","2012 Loan","2012 Scholarship","2012 Work/Study","2012 Grant","2013 Loan","2013 Scholarship","2013 Work/Study","2013 Grant","2014 Loan","2014 Scholarship","2014 Work/Study","2014 Grant","2015 Loan","2015 Scholarship","2015 Work/Study","2015 Grant","2016 Loan","2016 Scholarship","2016 Work/Study","2016 Grant","2017 Loan","2017 Scholarship","2017 Work/Study","2017 Grant"
30292,0,"2016-17","1","Married",91556,0,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30480,1,"2012-13","1","Married",20107,0,"College","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,8742,9142,NA,NA,2823,12500,NA,NA,5022.25,9563,NA,NA,NA,NA,NA,NA,NA
30767,1,"2011-12","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30985,0,"2014-15","1","Single",27824,0,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,NA,7500,NA,NA,4331,1456,NA,NA,1754
31126,1,"2015-16","1","Single",0,0,"College","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2363.67,NA,NA,NA,NA
31216,0,"2013-14","1","Single",18522,0,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1871,NA,NA,NA,5730,NA,NA,NA,NA,NA,NA,NA,NA
31224,1,"2014-15","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31659,0,"2012-13","1","Divorced",33951,0,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,1875,NA,NA,NA,2398,NA,NA,NA,2865,NA,NA,NA,NA,NA,NA,NA,NA
32175,1,"2011-12","1","Single",0,0,"High School","High School","With Parent",3500,NA,NA,2082,3500,NA,NA,3075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32551,0,"2011-12","3","Single",40033,0,"Unknown","Middle School","With Parent",NA,NA,NA,1000,5500,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32781,1,"2012-13","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33332,1,"2011-12","1","Single",23430,0,"Unknown","College","Off Campus",1750,NA,NA,3881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33370,0,"2012-13","1","Single",15770,0,"Unknown","High School","Off Campus",NA,NA,NA,NA,10500,NA,NA,NA,10500,NA,NA,NA,6250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34166,0,"2014-15","3","Single",22144,0,"High School","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555,NA,NA,NA,1670,NA,NA,NA,NA
34272,0,"2013-14","1","Single",23865,0,"Middle School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,10500,NA,NA,NA,12500,NA,NA,NA,5250,NA,NA,313,NA,NA,NA,NA
34380,1,"2012-13","3","Married",15200,0,"High School","High School","Off Campus",NA,NA,NA,NA,4250,NA,NA,5520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34666,0,"2011-12","1","Single",15295,82486,"High School","College","With Parent",NA,10021,NA,NA,NA,10421.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34919,0,"2012-13","1","Single",0,0,"High School","Middle School","Off Campus",NA,NA,NA,NA,3750,1000,NA,5820,8073,NA,NA,7303,6095,NA,NA,11894,NA,NA,NA,NA,NA,NA,NA,NA
35056,1,"2011-12","1","Divorced",25479,0,"High School","High School","Off Campus",3500,NA,NA,8382,7000,NA,NA,7366,3750,NA,NA,1548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35315,1,"2011-12","1","Married",72900,0,"High School","Middle School","Off Campus",6000,NA,NA,NA,NA,NA,NA,NA,3750,NA,NA,3123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35433,1,"2013-14","1","Single",0,89420,"High School","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35803,1,"2013-14","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36082,1,"2013-14","3","Single",18254,0,"Unknown","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,3500,NA,NA,2823,NA,NA,NA,716,NA,NA,NA,6128,NA,NA,NA,6212
36438,1,"2011-12","3","Single",0,12419,"High School","High School","With Parent",NA,NA,NA,5794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1444,5250,NA,NA,4215
36945,1,"2011-12","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37218,0,"2015-16","1","Separated",28153,0,"Unknown","Unknown","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7641,5500,NA,NA,4792
37630,0,"2011-12","1","Single",38694,0,"Unknown","Unknown","Off Campus",6500,2000,NA,3800,5500,2000,NA,3404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37639,1,"2012-13","1","Married",36194,0,"High School","High School","Off Campus",NA,NA,NA,NA,7500,2000,NA,5200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38319,0,"2012-13","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39414,1,"2011-12","1","Single",7826,0,"High School","High School","Off Campus",9500,NA,2000,11588,6250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39588,1,"2014-15","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40825,0,"2015-16","1","Married",87624,0,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA,NA,NA,10402,NA,NA,NA
40904,1,"2013-14","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41744,0,"2012-13","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42888,0,"2012-13","1","Single",13214,0,"High School","High School","Off Campus",NA,NA,NA,NA,8400,NA,NA,3547,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43071,0,"2014-15","1","Married",36124,0,"Middle School","Middle School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,NA,4298,5250,NA,NA,2328,NA,NA,NA,NA
43279,0,"2016-17","1","Married",52429,0,"College","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500,NA,NA,NA
43344,1,"2013-14","1","Married",35472,0,"High School","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1152.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43419,0,"2015-16","1","Divorced",15898,0,"Unknown","Middle School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,NA,5775,NA,5000,NA,2065
43422,0,"2013-14","1","Single",28209,0,"College","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,12500,NA,NA,4939,12500,NA,NA,6386,5250,NA,NA,3240,NA,NA,NA,NA
43477,0,"2016-17","1","Married",61986,0,"Unknown","Unknown","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4853,NA,NA,3165
43533,1,"2012-13","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43686,1,"2011-12","1","Married",27856,0,"High School","High School","Off Campus",5500,NA,NA,5550,10500,NA,NA,5550,3750,NA,NA,4235,8500,NA,NA,12416,10500,NA,NA,11421,NA,NA,NA,NA
43733,1,"2011-12","1","Single",0,13735,NA,"College","On Campus Housing",3500,NA,NA,12863,5500,NA,NA,11790,6000,NA,NA,4234,6500,NA,NA,13266,11000,NA,NA,6925,2000,NA,NA,6912
43777,0,"2014-15","1","Single",40866,0,"Middle School","Middle School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500,NA,NA,NA,10500,NA,NA,2888,12500,NA,NA,NA
43882,0,"2012-13","1","Single",1800,193640,"High School","College","With Parent",NA,NA,NA,NA,6500,NA,NA,NA,10500,NA,NA,5645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44104,0,"2012-13","1","Single",13656,0,"Unknown","Unknown","Off Campus",NA,NA,NA,NA,10500,NA,NA,6894,10500,NA,NA,3095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44318,0,"2015-16","3","Single",8686,15027,"Middle School","Middle School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6128,NA,NA,NA,11523
44372,1,"2013-14","1","Single",5299,205799,"College","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44496,0,"2013-14","1","Single",0,88212,"College","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,NA,NA,4500,NA,NA,NA,4500,NA,NA,NA,NA,NA,NA,NA
44549,0,"2012-13","3","Single",10453,67814,"High School","Unknown","With Parent",NA,NA,NA,NA,2750,NA,NA,2872,7500,NA,NA,863,7500,NA,NA,863,NA,NA,NA,NA,NA,NA,NA,NA
44757,0,"2016-17","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45090,0,"2011-12","1","Single",12607,0,"College","College","With Parent",7500,NA,NA,5179,8500,NA,NA,3500,10500,NA,NA,4595,10500,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA
52248,0,"2013-14","1","Single",21426,0,"College","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4940,NA,NA,NA,5718,NA,NA,NA,2507.51,NA,NA,NA,1282
55512,0,"2011-12","1","Single",53834,0,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1565
63106,1,"2011-12","1","Single",0,0,"High School","High School","With Parent",5500,NA,NA,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63303,0,"2011-12","1","Single",0,79606,"High School","High School","With Parent",3500,NA,NA,NA,3500,NA,NA,NA,4500,NA,NA,NA,5500,NA,NA,NA,5500,NA,NA,NA,NA,NA,NA,NA
63322,1,"2011-12","1","Single",0,23955,"College","College","Off Campus",800,NA,2060,11588,5500,NA,3000,11790,NA,NA,NA,NA,2250,NA,NA,6058,NA,NA,NA,NA,NA,NA,NA,NA
63345,0,"2011-12","1","Separated",25990,0,"High School","High School","Off Campus",9500,NA,NA,7762,5250,NA,NA,875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63766,0,"2016-17","1","Single",37044,0,"College","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,NA,5370
63908,1,"2015-16","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64083,0,"2013-14","3","Married",3800,0,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,NA,2823,7180,NA,NA,5014,12500,NA,NA,7417,12500,NA,NA,5089
64122,0,"2014-15","3","Single",22097,0,"College",NA,"On Campus Housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,590,7500,NA,NA,12255,6343,NA,NA,11573
64199,0,"2012-13","1","Married",74597,0,"High School","High School","Off Campus",NA,NA,NA,NA,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64777,0,"2014-15","3","Single",0,13531,"College","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6058,NA,NA,2000,12255,NA,NA,NA,12373
64886,1,"2012-13","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65040,1,"2012-13","3","Married",23054,0,"High School","High School","Off Campus",NA,NA,NA,NA,2000,NA,NA,2082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65066,0,"2012-13","1","Single",71870,0,"High School","College","On Campus Housing",NA,NA,NA,NA,7500,NA,NA,NA,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65424,0,"2012-13","1","Married",34952,0,"High School","College","Off Campus",NA,NA,NA,NA,2750,NA,NA,2750,NA,NA,NA,11783,5250,NA,NA,2865,NA,NA,NA,NA,NA,NA,NA,NA
65687,0,"2013-14","1","Married",57895,0,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,6470,5000,NA,4895,10500,5000,NA,3870,NA,NA,NA,NA,NA,NA,NA,NA
66350,0,"2012-13","3","Single",30419,0,"Middle School","Middle School","Off Campus",NA,NA,NA,NA,6250,NA,NA,NA,12500,NA,NA,NA,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66661,0,"2011-12","1","Single",0,123663,"High School","High School","With Parent",5500,NA,NA,NA,3500,NA,2000,NA,4250,250,NA,NA,5498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66672,1,"2012-13","1","Single",17994,0,"Middle School","High School","Off Campus",NA,NA,NA,NA,1750,NA,NA,2775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66715,1,"2011-12","1","Single",11975,0,"High School","College","With Parent",NA,NA,NA,5206,3180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66738,1,"2013-14","1","Single",28816,0,"Unknown","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66840,0,"2012-13","1","Single",19204,0,"Unknown","Unknown","Off Campus",NA,NA,NA,NA,7500,NA,NA,8513,12500,NA,NA,5036,6250,NA,NA,431,NA,NA,NA,NA,NA,NA,NA,NA
66888,0,"2011-12","1","Single",52946,0,"High School","High School","Off Campus",7500,NA,NA,2625,9500,NA,NA,2450,8500,NA,NA,1934,8500,NA,NA,1040,10500,NA,NA,2735,10500,NA,NA,325
67148,1,"2011-12","1","Single",12893,0,"Unknown","High School","Off Campus",3500,NA,NA,12738,NA,NA,NA,NA,3750,NA,NA,6576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67171,1,"2012-13","3","Single",21284,0,"College","Unknown","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67316,1,"2012-13","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67421,0,"2015-16","3","Divorced",47259,0,"Unknown","Unknown","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2951.3,NA,3970,NA,4000,NA,5165
67940,0,"2012-13","1","Single",16193,34554,"Middle School","Unknown","Off Campus",NA,NA,NA,NA,7500,NA,NA,NA,7500,NA,NA,4211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68466,1,"2012-13","1","Single",0,54539,"High School","Middle School","With Parent",NA,NA,NA,NA,NA,NA,NA,3700,NA,NA,NA,NA,NA,NA,NA,5383,NA,NA,NA,12255,NA,NA,NA,7305
68658,1,"2013-14","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68759,1,"2013-14","1","Single",9985,0,"High School","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12001,10500,NA,NA,5730,NA,NA,NA,NA,NA,NA,NA,NA
68773,0,"2014-15","1","Single",9654,35483,"College",NA,"With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6984,NA,NA,2000,9107,282,NA,70,4471
68809,0,"2013-14","1","Single",3426,9779,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,13751,NA,NA,3140,13866,NA,NA,2000,13021,NA,NA,NA,NA
68832,0,"2014-15","1","Single",48421,0,"College","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68890,1,"2011-12","1","Single",6688,0,"High School","High School","Off Campus",10500,NA,NA,5550,10500,NA,NA,11790,NA,NA,NA,4037.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69034,1,"2015-16","1","Single",0,123835,"College","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6500,NA,NA,NA,NA,NA,NA,NA
69126,0,"2014-15","1","Single",2183,136867,"College","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,NA,NA,6500,NA,NA,NA,7500,NA,NA,NA
70093,1,"2011-12","3","Single",0,0,"High School","High School","Off Campus",NA,NA,NA,5357,NA,NA,NA,2775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70235,1,"2011-12","3","Single",12090,0,"Unknown","Unknown","With Parent",NA,NA,NA,5794,NA,NA,NA,5895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70526,0,"2015-16","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70741,1,"2012-13","1","Single",51143,0,"High School","High School","Off Campus",NA,NA,NA,NA,7500,NA,NA,NA,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70833,0,"2015-16","3","Married",73018,0,"Middle School","Middle School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,NA,NA,1260,4168,NA,NA,NA
71251,0,"2014-15","1","Married",12100,0,"College","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,12500,NA,NA,NA,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71631,1,"2013-14","1","Married",99269,0,"High School","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,2191,NA,NA,NA,6978,NA,NA,NA,2428,NA,NA,NA,NA,NA,NA,NA
71642,1,"2014-15","1","Single",33634,0,"Unknown","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,5730,NA,NA,NA,NA,NA,NA,NA,NA
72124,1,"2012-13","1","Married",26140,0,"College","High School","Off Campus",NA,NA,NA,NA,1750,NA,NA,7523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
